id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
344,Georges,Niang,F,6-6,230,31,Iowa State,USA,2016.0,2.0,50.0,29,UTA,Utah,Jazz,West,Northwest
345,Nerlens,Noel,F-C,6-11,220,3,Kentucky,USA,2013.0,1.0,6.0,3,BKN,Brooklyn,Nets,East,Atlantic
346,Dirk,Nowitzki,F,7-0,245,41,DJK Wurzburg,Germany,1998.0,1.0,9.0,7,DAL,Dallas,Mavericks,West,Southwest
347,Frank,Ntilikina,G,6-4,200,21,Strasbourg IG,France,2017.0,1.0,8.0,4,CHA,Charlotte,Hornets,East,Southeast
348,James,Nunnally,F,6-7,205,21,Cal-Santa Barbara,USA,,,,23,PHI,Philadelphia,76ers,East,Atlantic
349,Jusuf,Nurkic,C,6-11,290,30,Cedevita,Bosnia and Herzegovina,2014.0,1.0,16.0,29,UTA,Utah,Jazz,West,Northwest
350,David,Nwaba,G,6-5,219,2,Cal Poly-Obispo,USA,,,,21,OKC,Oklahoma City,Thunder,West,Northwest
351,Royce,O'Neale,F,6-6,226,00,Baylor,USA,,,,24,PHX,Phoenix,Suns,West,Pacific
352,Kyle,O'Quinn,C,6-9,250,9,Norfolk State,USA,2012.0,2.0,49.0,20,NYK,New York,Knicks,East,Atlantic
353,Semi,Ojeleye,F,6-6,240,37,Southern Methodist,USA,2017.0,2.0,37.0,13,LAC,LA,Clippers,West,Pacific
354,Jahlil,Okafor,C,6-10,270,13,Duke,USA,2015.0,1.0,3.0,12,IND,Indiana,Pacers,East,Central
355,Elie,Okobo,G,6-3,190,2,Elan Bearnais,France,2018.0,2.0,31.0,24,PHX,Phoenix,Suns,West,Pacific
356,Josh,Okogie,G,6-4,213,20,Georgia Tech,Nigeria,2018.0,1.0,20.0,11,HOU,Houston,Rockets,West,Southwest
357,Victor,Oladipo,G,6-3,213,4,Indiana,USA,2013.0,1.0,2.0,16,MIA,Miami,Heat,East,Southeast
358,Kelly,Olynyk,F,7-0,240,8,Gonzaga,Canada,2013.0,1.0,13.0,27,SAS,San Antonio,Spurs,West,Southwest
359,Cedi,Osman,F,6-7,230,16,Anadolu Efes,Turkey,2015.0,2.0,31.0,27,SAS,San Antonio,Spurs,West,Southwest
360,Kelly,Oubre Jr.,F,6-8,203,9,Kansas,USA,2015.0,1.0,15.0,23,PHI,Philadelphia,76ers,East,Atlantic
361,Zaza,Pachulia,C,6-11,270,27,Ulkerspor,Georgia,2003.0,2.0,42.0,1,ATL,Atlanta,Hawks,East,Southeast
362,Jabari,Parker,F,6-8,245,20,Duke,USA,2014.0,1.0,2.0,2,BOS,Boston,Celtics,East,Atlantic
363,Tony,Parker,G,6-2,185,9,Paris Basket Racing,France,2001.0,1.0,28.0,27,SAS,San Antonio,Spurs,West,Southwest
364,Chandler,Parsons,F,6-10,230,25,Florida,USA,2011.0,2.0,38.0,11,HOU,Houston,Rockets,West,Southwest
365,Patrick,Patterson,F,6-8,235,54,Kentucky,USA,2010.0,1.0,14.0,28,TOR,Toronto,Raptors,East,Atlantic
366,Justin,Patton,C,6-11,241,12,Creighton,USA,2017.0,1.0,16.0,11,HOU,Houston,Rockets,West,Southwest
367,Chris,Paul,G,6-0,175,3,Wake Forest,USA,2005.0,1.0,4.0,13,LAC,LA,Clippers,West,Pacific
368,Cameron,Payne,G,6-3,183,1,Murray State,USA,2015.0,1.0,14.0,12,IND,Indiana,Pacers,East,Central
369,Elfrid,Payton,G,6-3,195,4,Louisana-Lafayette,USA,2014.0,1.0,10.0,19,NOP,New Orleans,Pelicans,West,Southwest
370,Theo,Pinson,G-F,6-7,212,1,North Carolina,USA,,,,7,DAL,Dallas,Mavericks,West,Southwest
371,Mason,Plumlee,F-C,7-0,254,22,Duke,USA,2013.0,1.0,22.0,4,CHA,Charlotte,Hornets,East,Southeast
372,Miles,Plumlee,C,6-11,249,18,Duke,USA,2012.0,1.0,26.0,24,PHX,Phoenix,Suns,West,Pacific
373,Jakob,Poeltl,C,7-0,253,19,Utah,Austria,2016.0,1.0,9.0,28,TOR,Toronto,Raptors,East,Atlantic
374,Quincy,Pondexter,F,6-7,230,3,Washington,USA,2010.0,1.0,26.0,15,MEM,Memphis,Grizzlies,West,Southwest
375,Michael,Porter Jr.,F,6-10,218,17,Missouri,USA,2018.0,1.0,14.0,3,BKN,Brooklyn,Nets,East,Atlantic
376,Otto,Porter Jr.,F,6-8,198,32,Georgetown,USA,2013.0,1.0,3.0,28,TOR,Toronto,Raptors,East,Atlantic
377,Bobby,Portis,F,6-9,250,9,Arkansas,USA,2015.0,1.0,22.0,17,MIL,Milwaukee,Bucks,East,Central
